id,int_col,numeric_col,double_col,real_col,bool_col,text_col,varchar_col,date_col,ts_col
1,1,1.10,1.001,1.1,true,alpha,a,2024-01-01,2024-01-01 00:00:00
2,-2,-2.20,2.002,2.2,false,beta value,b,2024-01-02,2024-01-02 01:15:00
3,3,3.30,3.003,3.3,true,gamma text,c,2024-01-03,2024-01-03 02:30:00
4,-4,-4.40,4.004,4.4,false,delta,d,2024-01-04,2024-01-04 03:45:00
5,5,5.55,5.005,5.5,true,epsilon,e,2024-01-05,2024-01-05 05:00:00
6,6,6.66,6.006,6.6,false,zeta,f,2024-01-06,2024-01-06 06:15:00
7,7,7.77,7.007,7.7,true,eta,g,2024-01-07,2024-01-07 07:30:00
8,8,8.88,8.008,8.8,false,theta,h,2024-01-08,2024-01-08 08:45:00
9,9,9.99,9.009,9.9,true,iota,i,2024-01-09,2024-01-09 10:00:00
10,10,10.10,10.010,10.1,false,kappa,j,2024-01-10,2024-01-10 11:15:00
11,11,11.11,11.011,11.1,true,lambda,k,2024-02-01,2024-02-01 12:30:00
12,12,12.12,12.012,12.2,false,mu,l,2024-02-02,2024-02-02 13:45:00
13,13,13.13,13.013,13.3,true,nu,m,2024-02-03,2024-02-03 15:00:00
14,14,14.14,14.014,14.4,false,xi,n,2024-02-04,2024-02-04 16:15:00
15,15,15.15,15.015,15.5,true,omicron,o,2024-02-05,2024-02-05 17:30:00
16,16,16.16,16.016,16.6,false,pi,p,2024-02-06,2024-02-06 18:45:00
17,17,17.17,17.017,17.7,true,rho,q,2024-02-07,2024-02-07 20:00:00
18,18,18.18,18.018,18.8,false,sigma,r,2024-02-08,2024-02-08 21:15:00
19,19,19.19,19.019,19.9,true,tau,s,2024-02-09,2024-02-09 22:30:00
20,20,20.20,20.020,20.1,false,upsilon,t,2024-02-10,2024-02-10 23:45:00
